Measure,interval_start,interval_end,sex,age_band,numerator,denominator,ratio
ADHD_recorded_prevalence,2021-04-01,2022-03-31,female,45 to 54,2130,1542900,0.0013805172078553373
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,25 to 34,31815,1561585,0.02037353073960111
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,35 to 44,8010,1591320,0.0050335570469798654
ADHD_recorded_prevalence,2021-04-01,2022-03-31,male,45 to 54,2950,1611190,0.001830944829597999
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,18 to 24,12370,847040,0.014603796751038912
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,75 and over,105,872005,0.0001204121536000367
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,18 to 24,29975,928655,0.032277864222989165
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,10 to 17,14940,1099905,0.013582991258335947
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,75 and over,105,1116550,9.403967578702252e-05
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,65 to 74,300,1121770,0.0002674345008335042
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,10 to 17,46730,1162450,0.040199578476493615
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,65 to 74,255,1190280,0.00021423530597842525
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,0 to 9,4485,1224255,0.0036634524670105494
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,0 to 9,15180,1287845,0.011787132768306745
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,55 to 64,1130,1520325,0.0007432621314521566
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,25 to 34,14805,1528390,0.009686663744201414
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,45 to 54,3390,1531370,0.0022137040689056203
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,55 to 64,1420,1541825,0.0009209864932790687
ADHD_recorded_prevalence,2022-04-01,2023-03-31,female,35 to 44,6925,1559750,0.004439814072768072
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,45 to 54,3885,1607950,0.0024161199042258778
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,25 to 34,36725,1634150,0.02247345714897653
ADHD_recorded_prevalence,2022-04-01,2023-03-31,male,35 to 44,11050,1662415,0.006646956385740023
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,18 to 24,15545,852490,0.01823481800373025
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,75 and over,130,916465,0.00014184938868369224
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,18 to 24,32575,932210,0.03494384312547602
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,65 to 74,365,1125380,0.0003243348913255967
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,10 to 17,19425,1128450,0.017213877442509636
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,75 and over,120,1166610,0.00010286213901818088
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,65 to 74,310,1192325,0.0002599962258612375
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,10 to 17,54230,1192730,0.04546712164530112
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,0 to 9,5570,1222370,0.004556721778185001
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,0 to 9,17305,1284020,0.01347720440491581
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,45 to 54,4990,1517525,0.0032882489580072817
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,25 to 34,20455,1541045,0.013273460541385878
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,55 to 64,1775,1551470,0.001144076263156877
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,55 to 64,1895,1569425,0.0012074485878586106
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,45 to 54,5025,1593380,0.003153673323375466
ADHD_recorded_prevalence,2023-04-01,2024-03-31,female,35 to 44,10790,1620280,0.006659342829634384
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,25 to 34,41040,1643330,0.024973681488197744
ADHD_recorded_prevalence,2023-04-01,2024-03-31,male,35 to 44,15105,1715845,0.008803242717145197
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,18 to 24,19875,856655,0.023200705067967852
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,18 to 24,36400,938035,0.038804522219320174
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,75 and over,155,946340,0.00016378891307563878
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,65 to 74,490,1133355,0.0004323446757635516
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,10 to 17,25045,1147310,0.0218293225022008
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,75 and over,145,1199870,0.00012084642502937818
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,65 to 74,420,1202000,0.0003494176372712146
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,0 to 9,6780,1210980,0.005598771243125402
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,10 to 17,62845,1211890,0.05185701672594047
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,0 to 9,19655,1270810,0.015466513483526255
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,45 to 54,8170,1503320,0.005434638001223958
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,25 to 34,28950,1544105,0.018748724989557056
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,55 to 64,2830,1572350,0.0017998537221356567
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,45 to 54,7070,1579915,0.004474924283901349
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,55 to 64,2610,1581830,0.001649987672505895
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,25 to 34,46610,1647705,0.028287830649297054
ADHD_recorded_prevalence,2024-04-01,2025-03-31,female,35 to 44,17555,1658605,0.010584195754866289
ADHD_recorded_prevalence,2024-04-01,2025-03-31,male,35 to 44,20540,1755040,0.011703436958701796
