Measure,Year_of_medication,Sex,Age_Band,Median,size
Median_time_ADHD_diagnosis_to_medication,2018-2019,female,ALL,13,2550
Median_time_ADHD_diagnosis_to_medication,2018-2019,male,ALL,15,7360
Median_time_ADHD_diagnosis_to_medication,2019-2020,female,ALL,15,3360
Median_time_ADHD_diagnosis_to_medication,2019-2020,male,ALL,16,8920
Median_time_ADHD_diagnosis_to_medication,2020-2021,female,ALL,16,3580
Median_time_ADHD_diagnosis_to_medication,2020-2021,male,ALL,18,7440
Median_time_ADHD_diagnosis_to_medication,2021-2022,female,ALL,17,6110
Median_time_ADHD_diagnosis_to_medication,2021-2022,male,ALL,22,9850
Median_time_ADHD_diagnosis_to_medication,2022-2023,female,ALL,20,9510
Median_time_ADHD_diagnosis_to_medication,2022-2023,male,ALL,23,12590
Median_time_ADHD_diagnosis_to_medication,2023-2024,female,ALL,27,11680
Median_time_ADHD_diagnosis_to_medication,2023-2024,male,ALL,27,13950
Median_time_ADHD_diagnosis_to_medication,2024-2025,female,ALL,30,13140
Median_time_ADHD_diagnosis_to_medication,2024-2025,male,ALL,30,15090
Median_time_ADHD_diagnosis_to_medication,2016-2017,ALL,ALL,15,7260
Median_time_ADHD_diagnosis_to_medication,2017-2018,ALL,ALL,15,7890
Median_time_ADHD_diagnosis_to_medication,2018-2019,ALL,ALL,14,9900
Median_time_ADHD_diagnosis_to_medication,2019-2020,ALL,ALL,16,12270
Median_time_ADHD_diagnosis_to_medication,2020-2021,ALL,ALL,17,11010
Median_time_ADHD_diagnosis_to_medication,2021-2022,ALL,ALL,20,15950
Median_time_ADHD_diagnosis_to_medication,2022-2023,ALL,ALL,21,22090
Median_time_ADHD_diagnosis_to_medication,2023-2024,ALL,ALL,27,25620
Median_time_ADHD_diagnosis_to_medication,2024-2025,ALL,ALL,30,28220
