Measure,Reporting_Period_Start_Date,Reporting_Period_End_Date,Sex,Age_Band,Numerator,Denominator,Percentage
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,35 to 44,2620,6085,43.0566968
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,18 to 24,4230,7065,59.87261146
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,25 to 34,3395,7120,47.68258427
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,female,10 to 17,5805,9465,61.33122029
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,0 to 9,6175,12830,48.12938426
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,18 to 24,18050,26565,67.94654621
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,25 to 34,14625,28375,51.54185022
ADHD_medication_with_ADHD_diagnosis,01/04/2020,31/03/2021,male,10 to 17,24650,36060,68.35829174
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,75 and over,15,85,17.64705882
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,75 and over,10,90,11.11111111
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,65 to 74,70,210,33.33333333
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,65 to 74,90,265,33.96226415
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,55 to 64,355,755,47.01986755
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,55 to 64,475,1065,44.60093897
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,45 to 54,1130,2130,53.05164319
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,45 to 54,1545,2950,52.37288136
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,0 to 9,1490,3670,40.59945504
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,35 to 44,2030,4060,50
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,35 to 44,3545,8010,44.25717853
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,18 to 24,5165,9015,57.29339989
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,25 to 34,4635,9730,47.63617677
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,female,10 to 17,6840,11625,58.83870968
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,0 to 9,6285,13560,46.34955752
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,18 to 24,18885,27425,68.86052871
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,25 to 34,17045,31815,53.57535754
ADHD_medication_with_ADHD_diagnosis,01/04/2021,31/03/2022,male,10 to 17,27095,40600,66.7364532
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,75 and over,10,105,9.523809524
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,75 and over,20,105,19.04761905
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,65 to 74,95,255,37.25490196
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,65 to 74,110,300,36.66666667
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,55 to 64,535,1130,47.34513274
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,55 to 64,660,1420,46.47887324
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,45 to 54,1675,3390,49.4100295
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,45 to 54,2005,3885,51.60875161
