DATASET,YEAR,CCG_ONS_CODE,CCG_ODS_CODE,CCG_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,14 to 17,1373
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,18 to 24,2302
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,25 to 34,3592
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,35 to 44,3523
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,45 to 49,2142
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,50 to 54,2457
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,55 to 59,2555
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,60 to 64,2303
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,65 to 69,2233
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,70 to 74,2145
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB001,M,75 and over,3062
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,ALL,ALL,432
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,0 to 9,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,10 to 13,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,14 to 17,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,18 to 24,31
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,25 to 34,37
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,35 to 44,35
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,45 to 49,17
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,50 to 54,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,55 to 59,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,60 to 64,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,65 to 69,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,70 to 74,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,F,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,0 to 9,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,10 to 13,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,14 to 17,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,18 to 24,55
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,25 to 34,49
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,35 to 44,39
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,45 to 49,13
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,50 to 54,27
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,55 to 59,20
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,60 to 64,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,65 to 69,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,70 to 74,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB002,M,75 and over,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,ALL,ALL,444
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,0 to 9,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,10 to 13,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,14 to 17,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,18 to 24,35
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,25 to 34,36
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,35 to 44,38
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,45 to 49,19
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,50 to 54,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,55 to 59,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,60 to 64,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,65 to 69,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,70 to 74,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,F,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,10 to 13,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,14 to 17,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,18 to 24,58
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,25 to 34,46
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,35 to 44,39
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,45 to 49,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,50 to 54,24
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,55 to 59,19
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,60 to 64,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,65 to 69,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,70 to 74,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003A,M,75 and over,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,ALL,ALL,66125
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,0 to 9,3198
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,10 to 13,1313
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,14 to 17,1387
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,18 to 24,2196
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,25 to 34,3531
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,35 to 44,3510
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,45 to 49,2242
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,50 to 54,2627
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,55 to 59,2659
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,60 to 64,2437
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,65 to 69,2350
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,70 to 74,2227
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,F,75 and over,4081
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,0 to 9,3438
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,10 to 13,1485
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,14 to 17,1364
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,18 to 24,2244
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,25 to 34,3546
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,35 to 44,3483
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,45 to 49,2127
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,50 to 54,2433
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,55 to 59,2536
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,60 to 64,2295
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,65 to 69,2222
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,70 to 74,2139
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB003B,M,75 and over,3055
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,ALL,ALL,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,50 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,60 to 64,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,65 to 69,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,70 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,25 to 34,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,50 to 54,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,55 to 59,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,60 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,65 to 69,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,70 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB004,M,75 and over,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,0 to 9,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,10 to 17,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,18 to 24,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,25 to 34,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,35 to 44,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,45 to 54,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,55 to 64,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,65 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,F,75 and over,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,0 to 9,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,10 to 17,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,18 to 24,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,25 to 34,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,35 to 44,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,45 to 54,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,55 to 64,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,65 to 74,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB006,M,75 and over,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,0 to 9,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,10 to 17,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,18 to 24,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,25 to 34,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,35 to 44,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,45 to 54,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,55 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,65 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,10 to 17,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,18 to 24,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,45 to 54,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,55 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,65 to 74,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB009,M,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,0 to 9,94
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,10 to 17,84
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,18 to 24,40
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,25 to 34,27
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,35 to 44,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,45 to 54,22
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,55 to 64,25
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,65 to 74,38
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,F,75 and over,93
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS Northumberland CCG,LDOB010,M,0 to 9,153
