,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
60,RRV82,UCLH OUTREACH: LONDON BRIDGE HOSPITAL,Y56,Q71,LONDON BRIDGE HOSPITAL,27 TOOLEY STREET,,LONDON,GREATER LONDON,SE1 2PR,20150401.0,,,,,,,,,,,0.0,,H,,,
61,RRV92,UCLH OUTREACH: THE PRINCESS GRACE HOSPITAL,Y56,Q71,42-52 NOTTINGHAM PLACE,,,LONDON,GREATER LONDON,W1U 5NY,20071001.0,,,,,,,,,,,0.0,,H,,,
62,RRVE1,THE EASTMAN DENTAL HOSPITAL,Y56,Q71,256 GRAY'S INN ROAD,,,LONDON,GREATER LONDON,WC1X 8LD,19960401.0,,,,,,,,,,,0.0,,H,,,
63,RRVNQ,NATIONAL HOSPITAL FOR NEUROLOGY & NEUROSURGERY - QUEEN SQUARE,Y56,Q71,QUEEN SQUARE,,,LONDON,GREATER LONDON,WC1N 3BG,20020401.0,,,,,,,,,,,0.0,,H,,,
64,RRVP5,ROYAL NATIONAL ENT AND EASTMAN DENTAL HOSPITALS,Y56,Q71,47-49 HUNTLEY STREET,,,LONDON,GREATER LONDON,WC1E 6DG,20190401.0,,,,,,,,,,,1.0,,H,,,
65,RRVRH,HOSPITAL FOR TROPICAL DISEASES,Y56,Q71,MORTIMER MARKET CENTRE,MORTIMER MARKET,OFF CAPPER STREET,LONDON,GREATER LONDON,WC1E 6JD,19960401.0,,,,,,,,,,,0.0,,H,,,
66,RRVTG,UCLH OUTREACH: BMI THE GARDEN HOSPITAL,Y56,Q71,46-50 SUNNY GARDENS ROAD,HENDON,,LONDON,GREATER LONDON,NW4 1RP,20130401.0,,,,,,,,,,,0.0,,H,,,
67,RV315,WILLESDEN HOSPITAL (ROUNDWOOD RESOURCE CENTRE & WILLESDEN CENTRE FOR PSYCHOLOGICAL TREATMENT),Y56,Q71,HARLESDEN ROAD,,,LONDON,GREATER LONDON,NW10 3RY,19990401.0,,,,,,,,,,,0.0,,H,,,
68,RV320,ST CHARLES HOSPITAL,Y56,Q71,EXMOOR STREET,,,LONDON,GREATER LONDON,W10 6DZ,19990401.0,,,,,,,,,,,0.0,,H,,,
69,RV346,THE GORDON HOSPITAL,Y56,Q71,BLOOMBURG STREET,,,LONDON,GREATER LONDON,SW1V 2RH,19990401.0,,,,,,,,,,,0.0,,H,,,
70,RV3CP,ST MARY'S HOSPITAL,Y56,Q71,PRAED STREET,,,LONDON,GREATER LONDON,W2 1NY,20071001.0,,,,,,,,,,,0.0,,H,,,
71,RV502,THE LAMBETH HOSPITAL,Y56,Q71,108 LANDOR ROAD,,,LONDON,GREATER LONDON,SW9 9NU,19990401.0,,,,,,,,,,,0.0,,H,,,
72,RV504,MAUDSLEY HOSPITAL,Y56,Q71,DENMARK HILL,,,LONDON,GREATER LONDON,SE5 8AZ,19990401.0,,,,,,,,,,,0.0,,H,,,
73,RV5K8,ADD-SM OUTPATIENTS-MAUDSLEY HOSPITAL,Y56,Q71,MARINA HOUSE,63-65 DENMARK HILL,,LONDON,GREATER LONDON,SE5 8RS,20061001.0,,,,,,,,,,,0.0,,H,,,
74,RWK03,EAST HAM MEMORIAL HOSPITAL,Y56,Q71,SHREWSBURY ROAD,,,LONDON,GREATER LONDON,E7 8QP,20000401.0,,,,,,,,,,,0.0,,H,,,
75,RWK1G,RICHMOND ROYAL HOSPITAL,Y56,Q71,KEW FOOT ROAD,RICHMOND UPON THAMES,,LONDON,GREATER LONDON,TW9 2TE,20121001.0,20180401.0,,,,,,,,,,0.0,,H,,,
76,RWK3G,ST LEONARD'S HOSPITAL,Y56,Q71,NUTTALL STREET,HACKNEY,,LONDON,GREATER LONDON,N1 5LZ,20160401.0,20180401.0,,,,,,,,,,0.0,,H,,,
77,RWKAX,EAST HAM MEMORIAL HOSPITAL,Y56,Q71,SHREWSBURY ROAD,,,LONDON,GREATER LONDON,E7 8QR,20081001.0,,,,,,,,,,,0.0,,H,,,
78,RWKCA,"FIRST AVE, DAY HOSPITAL - NEWHAM",Y56,Q71,103 FIRST AVENUE,,,LONDON,GREATER LONDON,E13 8AP,20081001.0,,,,,,,,,,,0.0,,H,,,
79,RYJ03,HAMMERSMITH HOSPITAL,Y56,Q71,DU CANE ROAD,,,LONDON,GREATER LONDON,W12 0HS,20071001.0,,,,,,,,,,,0.0,,H,,,
80,RYJ06,SAMARITAN HOSPITAL FOR WOMEN,Y56,Q71,FERGUSON HOUSE,15 MARYLEBONE ROAD,,LONDON,GREATER LONDON,NW1 5JD,20071001.0,,,,,,,,,,,0.0,,H,,,
81,RYJ07,WESTERN EYE HOSPITAL,Y56,Q71,153-173 MARYLEBONE ROAD,,,LONDON,GREATER LONDON,NW1 5QH,20071001.0,,,,,,,,,,,0.0,,H,,,
